legacy_id,ours,legacy,suggested,note
240,&amp;#$@*** pa Dolenjske jame!,"*?#$""!%& pa Dolenjske jame!",legacy,ours has an unescaped HTML entity (&amp;) baked into the title — same migration bug as legacy_id 351
250,Pokončno in globoko v letu 2012,Pokončno in globoko v 2012,ours,"fuller phrase (""v letu"")"
253,"Veš, Mirnopečan, svoj dolg?",Veš Mirnopečan svoj dolg?,ours,correct vocative punctuation
266,Čaganka - jamarski tabor 2012,Čaganka – jamarski tabor 2012,ours,dash style (house style is hyphen)
264,Jamarski tečaj 2012,Jamarski tečaj,ours,year added
319,50 let JKNM - zahvala podpornikom,50 let - zahvala podpornikom,ours,clarifies JKNM
317,Na Kočevskem Rogu,Na Kočevskem rogu,ours,casing only
325,Čaganka - dol in nazaj v očeh biologa,Čaganka – dol in nazaj v očeh biologa,ours,dash style
328,Čaganka - dan zmage na globini 350 m,Čaganka – dan zmage na globini 350 m,ours,dash style
341,Nekaj drobnih iz Kočevskega Roga,Nekaj drobnih iz Kočevskega roga,ours,casing only
344,Čaganka - ali je res blatna?,Čaganka – ali je res blatna?,ours,dash style
357,Slugova jama je očiščena,Čistilna akcija v Mirni Peči,ours,"deliberate retitle, unrelated wording"
358,Tečajniki in ponavljavci,Tečajniki in ponavljalci,legacy,"""ponavljalci"" (repeaters) is the standard Slovene form; ""ponavljavci"" in ours looks like a typo"
360,Čaganka - tabor 2014,Čaganka - Tabor 2014,ours,"casing after dash, consistent with house style"
361,Čaganka - nova odkritja proti 450 m,Čaganka - nova odkritja - proti 450 m,ours,redundant extra dash removed
362,Firecombat 2014 v Žužemberku,Firecombat v Žužemberku,ours,year added
366,Dan doživetij v Županovi jami 2014,Dan doživetij v Županovi jami,ours,year added
379,Skrivnost v jami Bajonetka na Kočevskem Rogu,Skrivnost v jami na Kočevskem rogu,ours,cave name added + casing
398,Firecombat 2015,Fire combat 2015,ours,"spacing, consistent with legacy_id 362"
435,Čaganka - Južni rov in tlaka na dnu,Čaganka – Južni rov in tlaka na dnu,ours,dash style
443,Jamarski potep po Kočevskem Rogu,Jamarski potep po Kočevskem rogu,ours,casing only
446,Dan doživetij v Županovi jami 2016,Dan doživetij v Županovi jami,ours,year added
450,Cvingerska jama - čiščenje [2],Cvingerska jama - čiščenje 2,ours,bracket-number convention
478,Jama Müllerloch pri Livoldu je očiščena,Jama Mullerloch pri Livoldu je očiščena,ours,umlaut correction (Müllerloch)
488,Jama nad mostom v Vavti vasi,Jama pod mostom v Vavti vasi,ours,"opposite preposition (nad=above vs pod=below) — can't tell which is correct without reading the article/photos, flagging rather than guessing"
492,Cvingerska jama - čiščenje [3],Cvingerska jama – čiščenje 3,ours,dash + bracket convention
500,Cvingerska jama - raziskovanje nadaljevanja,Cvingerska jama – raziskovanje nadaljevanja,ours,dash style
517,Cink križ - ožina še čaka,"Cink križ, ožina še čaka",ours,punctuation style
531,Prvonovembrsko čagankarjenje,Prvonovembrsko Čagankarjenje,ours,casing only (common noun)
550,Čaganka - Prvonovembrski tabor 2019,Čaganka – Prvonovembrski tabor 2019,ours,dash style
619,Čaganka - Četud ni 500 globoka ...,Četud ni 500 globoka ...,ours,series prefix added
562,Jamarski tečaj 2010 v polnem teku,Tečaj za jamarja v polnem teku,ours,"renamed to match the Jamarski tečaj series convention, deliberate"
579,Ko Pihalnik postane sistem Pihalnik,Ko Pihalnik postane sistem Pihalnika,ours,"legacy's genitive (""sistem Pihalnika"") is grammatically correct; ours looks truncated/wrong case"
604,Jamarski tečaj 2022 - odtisi in vtisi,Jamarski tečaj 2022 – odtisi in vtisi,ours,dash style
612,STOP smetem in metanju odpadkov v jame,Stop smetem in metanju odpadkov v jame,ours,stylistic emphasis (all-caps STOP)
621,Spust v Labodnico,Spust v Labadnico,ours,"spelling, presuming Labodnica is the correct cave name — VERIFY"
623,V Veliki Prepadni in Noč v knjižnici,V Veliki prepadni in Noč v knjižnici,ours,"casing (Prepadna is a cave name, proper noun)"
624,Skozi Winetoujevo brezno v čudežni svet brez sonca,Skozi Winetoujevo brezno v čudežni svet brez sonca Županove jame,legacy,"legacy has extra ""Županove jame"" that ours is missing — looks like an accidental truncation, not an edit"
