decision,name,visibility,diskMB,pushed,stars,lang,notes
d,smalls,PUBLIC,0.1,2024-01-19,0,TypeScript,throwaway experiment
d,wordle-fri,PRIVATE,0.1,2024-01-07,0,Java,school done
d,roget,PUBLIC,0.9,2024-01-07,0,Rust,fork — not mine
d,test,PUBLIC,8,2024-01-02,0,TypeScript,fork — not mine
d,next14test,PUBLIC,0.1,2023-11-14,0,TypeScript,throwaway experiment
d,solid-start,PUBLIC,11.2,2023-11-10,0,TypeScript,fork — not mine
d,programiranje,PUBLIC,0.1,2023-11-03,0,Java,school done
a,moodle_calendar,PUBLIC,0,2023-10-20,0,TypeScript,useful utility — keep for reference
a,upload-files,PRIVATE,2.1,2023-08-26,0,TypeScript,useful utility — keep for reference
a,musescore-rip,PUBLIC,0,2023-08-14,0,Rust,useful tool — keep for reference
k,fizika,PUBLIC,5.2,2023-08-04,0,TypeScript,production website
d,spletna_stran,PUBLIC,0.1,2023-05-22,0,TypeScript,old school project — done
a,ric-dl,PUBLIC,0,2023-05-09,0,Rust,useful scraper — keep for reference
k,math-eval,PUBLIC,0.5,2023-04-25,1,Rust,published MIT — keep
a,fizika-old,PUBLIC,49.6,2023-04-17,1,Rust,already archived — superseded by fizika
k,arduino-stopwatch,PUBLIC,0,2023-03-27,1,C++,maker project — keep for reference
a,nem,PUBLIC,0,2023-03-21,0,Rust,rust experiment — maybe revisit
d,competitive,PUBLIC,0,2023-03-11,0,,empty — never used
d,solid-jsx-provider,PUBLIC,0.1,2023-01-01,0,TypeScript,published package — keep
d,solid-google-auth,PUBLIC,0.1,2022-12-17,0,TypeScript,published package — keep
d,turisticna,PUBLIC,5.2,2022-06-10,0,TypeScript,high school project — done
d,tekmovanja,PUBLIC,0.2,2022-03-11,0,C++,competition — done
d,gis_lidar_downloader,PUBLIC,0,2022-02-12,0,Rust,throwaway experiment
d,merge-sort,PUBLIC,0.1,2022-02-02,0,TypeScript,tiny educational — done
a,uno,PUBLIC,0,2022-01-21,0,Rust,rust game — maybe revisit
d,fri,PUBLIC,2.9,2021-12-09,0,Rust,school done
a,engine,PUBLIC,0,2021-11-28,1,Rust,old engine prototype — sentimental
a,dodaj_jamo,PUBLIC,0,2021-10-31,0,C++,caving utility — keep for reference
d,school,PUBLIC,0,2021-10-14,0,C++,school done
d,Vulkan-Samples,PUBLIC,38.8,2021-10-11,0,C++,fork — not mine
d,VulkanMemoryAllocator,PUBLIC,24.1,2021-10-08,0,C,fork — not mine
d,Vulkan-Samples-Assets,PUBLIC,183,2021-08-30,0,,fork — not mine
a,EngineOld,PUBLIC,47.2,2021-03-30,1,C++,superseded — archiving for history
a,EngineTest,PUBLIC,0.1,2021-02-28,0,C++,superseded — archiving for history
d,imgui,PUBLIC,69.2,2021-02-22,0,C++,fork — not mine
a,EngineHazel,PUBLIC,13.5,2021-02-21,1,C++,superseded — archiving for history
d,OpenGL,PUBLIC,51,2021-02-13,0,C++,old learning — archiving for history
a,drive,PUBLIC,5,2021-01-23,1,JavaScript,sentimental — 1 star
a,avtopralnica,PUBLIC,0.5,2020-11-19,0,JavaScript,school project — done
a,cvinger.net,PUBLIC,739,2020-10-27,0,HTML,superseded by cvinger — 739MB to reclaim
d,stack5,PRIVATE,0,2020-10-27,0,C,security CTF — done
d,novice,PUBLIC,3.5,2020-10-12,0,JavaScript,old school project — done
